0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Processing start time,Processor LDAP,1st processing audit start time,1st processing auditor LDAP,1st processing audit failure detail,2nd processing audit start time,2nd processing auditor LDAP,2nd processing audit failure detail,Ingestion start time (submit time),Ingestor LDAP,1st ingestion audit start time,1st ingestion auditor LDAP,1st ingestion audit failure detail,2nd ingestion audit start time,2nd ingestion auditor LDAP,2nd ingestion audit failure detail,Blackout title,BPA link,Station
,st_proc,proc,st_pa1,pa1,fd_proc,st_pa2,pa2,fd_pa1,st_ing,ing,st_ia1,ia1,fd_ing,st_ia2,ia2,fd_ia1,title,bpa,station
Ind_cmp,B,L,Q,R,S,T,U,V,P,O,W,X,Y,Z,AA,AB,C,K,D
Ind_run,A,K,P,Q,R,S,T,U,N,O,V,W,X,Y,Z,AA,B,J,C
Rng_cmp,A,Q,A,V,W,A,Y,X,S,T,S,Z,AA,S,,,G,O,H
Rng_run,A,Q,A,V,W,A,Y,X,S,T,S,Z,AA,S,,,G,O,H
Ser_cmp,B,P,B,Q,R,B,,,B,U,B,S,,B,,,G,N,H
Ser_run,A,O,A,P,Q,A,,,A,T,A,R,,A,,,F,M,G
Bat_cmp,A,O,A,P,Q,A,R,S,A,T,A,V,W,A,,,E,N,
Bat_run,A,O,A,P,Q,A,R,S,A,T,A,V,W,A,,,E,N,
IndMod_cmp,A,M,A,Q,R,A,,,O,P,O,S,T,O,,,B,L,C
IndMod_run,A,M,A,Q,R,A,,,O,P,O,S,T,O,,,B,L,C
NoBO,A,E,A,J,,A,,,A,,A,,,A,,,,B,H
Parser_cmp,A,G,A,H,I,A,,,A,J,A,K,L,A,,,,F,N
Parser_run,A,G,A,H,I,A,,,A,J,A,K,L,A,,,,F,N
Stack_cmp,A,B,,,,,,,,,,,,,,,,C,
Stack_run,A,B,,,,,,,,,,,,,,,,C,
Parser_ing,,,,,,,,,C,B,F,E,G,I,H,J,,,